country,country_code
United States,+1
Canada,+1
Mexico,+52
Brazil,+55
Argentina,+54
United Kingdom,+44
Germany,+49
France,+33
Italy,+39
Spain,+34
Portugal,+351
Netherlands,+31
Belgium,+32
Switzerland,+41
Austria,+43
Sweden,+46
Norway,+47
Denmark,+45
Finland,+358
Poland,+48
Czech Republic,+420
Slovakia,+421
Hungary,+36
Romania,+40
Bulgaria,+359
Greece,+30
Turkey,+90
Russia,+7
Ukraine,+380
Belarus,+375
China,+86
Japan,+81
South Korea,+82
India,+91
Pakistan,+92
Bangladesh,+880
Sri Lanka,+94
Nepal,+977
Bhutan,+975
Thailand,+66
Vietnam,+84
Malaysia,+60
Singapore,+65
Indonesia,+62
Philippines,+63
Australia,+61
New Zealand,+64
South Africa,+27
Egypt,+20
Nigeria,+234
Kenya,+254
Tanzania,+255
Uganda,+256
Ethiopia,+251
Ghana,+233
Morocco,+212
Algeria,+213
Tunisia,+216
Saudi Arabia,+966
UAE,+971
Qatar,+974
Oman,+968
Kuwait,+965
Bahrain,+973
Iran,+98
Iraq,+964
Israel,+972
Jordan,+962
Lebanon,+961
Syria,+963
Sudan,+249
Libya,+218
Mexico,+52
Brazil,+55
Argentina,+54
Canada,+1
India,+91
China,+86
Japan,+81
South Korea,+82
Bangladesh,+880
Sri Lanka,+94
Nepal,+977
Bhutan,+975
Thailand,+66
Vietnam,+84
Malaysia,+60
Singapore,+65
Indonesia,+62
Philippines,+63
Australia,+61
New Zealand,+64
Turkey,+90
Russia,+7
Ukraine,+380
United States,+1
United Kingdom,+44
Germany,+49
France,+33
Italy,+39
Spain,+34
Portugal,+351
