id,country,country_code
1,United States,1
2,Canada,1
3,Mexico,52
4,Brazil,55
5,Argentina,54
6,United Kingdom,44
7,Germany,49
8,France,33
9,Italy,39
10,Spain,34
11,Portugal,351
12,Netherlands,31
13,Belgium,32
14,Switzerland,41
15,Austria,43
16,Sweden,46
17,Norway,47
18,Denmark,45
19,Finland,358
20,Poland,48
21,Czech Republic,420
22,Slovakia,421
23,Hungary,36
24,Romania,40
25,Bulgaria,359
26,Greece,30
27,Turkey,90
28,Russia,7
29,Ukraine,380
30,Belarus,375
31,China,86
32,Japan,81
33,South Korea,82
34,India,91
35,Pakistan,92
36,Bangladesh,880
37,Sri Lanka,94
38,Nepal,977
39,Bhutan,975
40,Thailand,66
41,Vietnam,84
42,Malaysia,60
43,Singapore,65
44,Indonesia,62
45,Philippines,63
46,Australia,61
47,New Zealand,64
48,South Africa,27
49,Egypt,20
50,Nigeria,234
51,Kenya,254
52,Tanzania,255
53,Uganda,256
54,Ethiopia,251
55,Ghana,233
56,Morocco,212
57,Algeria,213
58,Tunisia,216
59,Saudi Arabia,966
60,UAE,971
61,Qatar,974
62,Oman,968
63,Kuwait,965
64,Bahrain,973
65,Iran,98
66,Iraq,964
67,Israel,972
68,Jordan,962
69,Lebanon,961
70,Syria,963
71,Sudan,249
72,Libya,218
73,Mexico,52
74,Brazil,55
75,Argentina,54
76,Canada,1
77,India,91
78,China,86
79,Japan,81
80,South Korea,82
81,Bangladesh,880
82,Sri Lanka,94
83,Nepal,977
84,Bhutan,975
85,Thailand,66
86,Vietnam,84
87,Malaysia,60
88,Singapore,65
89,Indonesia,62
90,Philippines,63
91,Australia,61
92,New Zealand,64
93,Turkey,90
94,Russia,7
95,Ukraine,380
96,United States,1
97,United Kingdom,44
98,Germany,49
99,France,33
100,Italy,39
101,Spain,34
102,Portugal,351
